img_name,class_id,x1,x2,y1,y2
049a2ca6-5d4d-49a6-a5c2-2b1f6c080e7c.png,0,66,96,117,143
072309a3-8b64-445d-831c-6130b562a071.png,0,75,218,47,141
116e92a2-80d3-4541-9cb9-9005790ea74b.png,0,73,132,44,92
41534f52-f9b2-459e-bd93-df5405475b44.png,0,44,56,102,113
4c39795e-0409-43f2-bfbe-e9bdb60b6c99.png,0,190,211,66,85
5dd719d9-70fa-45ef-ba37-ae71ee577ca4.png,0,36,202,85,188
66a43d85-101d-4445-abe9-3cc810cf14dd.png,0,104,126,113,130
707f5340-f469-4784-89a3-37f6d2283b4a.png,0,167,209,112,140
726437a6-26c9-4ee6-8917-f172ed7b5f51.png,0,62,122,76,131
753bc4cf-b705-4163-bb9b-47a5008799d1.png,0,37,71,146,172
775260d5-6094-4eb5-82ed-7ddbda660922.png,0,144,205,74,127
7f236b84-166c-4789-b7df-4ece5fb88294.png,0,167,201,34,67
847f06ac-cf1c-431a-bb20-24dd42841c09.png,0,174,183,113,121
bbd3aecc-7efe-4efe-a26f-68ffc2a66c0a.png,0,136,177,102,131
bca4a4b2-4c27-4d05-af2a-c800b54b40e8.png,0,130,154,126,148
c8d6c084-3b29-4b98-a4c1-7f9a1840900b.png,0,46,82,2,27
cfcdda29-9fb0-40e7-9cb0-0a9be45a50a6.png,0,119,138,-1,13
dd27c767-9fbc-4c03-a00e-3a91f802aca8.png,0,21,239,66,212
ea719ecf-2d9e-426b-a2e7-118a024d8fd0.png,0,5,119,-1,91
fd3fb7a2-f4a5-4cca-a829-8dfc79e2b7e7.png,0,113,138,92,120
