img_name,class_id,x1,x2,y1,y2
6c9864b0-7f37-4afa-82a3-317d253cfd4a.png,0,51,230,67,118
d92dd34c-630a-47b6-a6de-821c292268b6.png,0,88,187,81,147
fb8cda0e-ce51-4bf4-8660-f9af60edcaf7.png,0,135,240,81,170
1f11aba4-dc94-4515-bf5f-27da7dd9a69a.png,0,58,201,62,169
80979787-fde2-4b37-9e3d-d9b60fc9a809.png,0,101,154,102,139
4aeb68ef-6c3e-4ce8-8131-ce0f4ebc707e.png,0,0,224,44,189
c981ab6c-b4ad-4b1a-ad5d-52b1b388a9f6.png,0,3,254,7,229
428cc350-4635-4877-91f6-2ff965fae63a.png,0,49,200,48,152
47730ec4-a7fb-4cc1-a354-eb901108064e.png,0,73,121,71,109
fd995abd-32b1-471a-938e-0313593d6da2.png,0,104,153,139,172
6b4784f3-a9da-4668-986d-ac01e1600d52.png,0,83,175,65,128
4a0cc8f5-29a4-40cd-a786-69ced7b4b4d6.png,0,59,109,0,36
43d338ed-d537-41c0-b183-8634f2454844.png,0,44,178,152,244
a5533976-ab88-4ea6-80ba-9ed2127252a7.png,0,1,182,19,200
6a0ff3d4-72a5-4f81-a591-cc089cf7bee8.png,0,40,74,35,62
828ece77-3d6f-4ab5-8718-11e51e1fe7a0.png,0,2,254,1,213
0cc11087-0374-4a67-9bba-882d7f1382db.png,0,128,254,45,129
788684f0-0453-41eb-b507-07d2106f3b48.png,0,64,172,34,114
c0b58bd6-fe12-4dc7-8b53-cecb8883b64f.png,0,39,253,110,249
3bb906f2-abbc-415b-99ab-2ff90fb2ab06.png,0,-1,255,33,227
2bf3c2ad-7906-4f73-be54-3ec23a533999.png,0,30,207,67,213
c4284309-0c36-47e5-9d1c-0f19d03116b7.png,0,27,217,32,157
a5f3fe53-db10-4eec-bde8-6c0439b1b978.png,0,90,160,105,166
66694e47-d959-4333-821b-6ad2f595e6e8.png,0,94,177,96,145
c724dcf2-bfc9-436c-9697-509a6713013c.png,0,110,166,127,166
b7151ed1-12a8-4f0e-8161-452165104e4c.png,0,70,150,113,176
c5d09015-a67a-4b64-8328-7839fad0a86c.png,0,44,127,78,139
dfb6793e-567b-4d6c-b934-b1599b3eb676.png,0,58,196,85,178
88a73a16-6d06-441b-81ac-7b8168723014.png,0,90,176,51,119
8561078f-d6cc-4d50-8d77-b433f7db4897.png,0,97,147,132,202
46561051-d91b-491d-891f-0f05a03f592f.png,0,123,171,73,134
749a4a20-ce5f-47f2-ab24-1feb23fbfea8.png,0,85,151,90,138
27de717f-c985-475d-82b9-85d01ef9ab04.png,0,39,106,47,77
1c747581-c033-4064-ac91-b6e0b508cf8c.png,0,28,223,63,197
b953656e-c659-40cf-a1de-b0acb800e91e.png,0,76,189,73,147
12cf45c9-45e1-4198-81de-9aac8bb425b8.png,0,106,178,106,165
4ec0c7f4-edea-47a0-8bfe-546cf3c212b8.png,0,77,155,134,215
c7610d03-0bba-4cea-b6b4-74b667958c5f.png,0,86,136,104,175
641b3310-d9a2-4a84-b576-3c45f0357a8e.png,0,-1,255,22,156
d7b413b1-9b87-4d39-999a-4c910567603f.png,0,57,170,108,185
349fc215-dc5c-4319-ad05-a24d9bc286ce.png,0,111,111,98,98
7fd6d1ba-6c98-4039-af52-97507ef9568f.png,0,97,139,104,134
9841c19e-9716-4b18-8749-996da7806a57.png,0,109,196,117,178
2a1f177b-d05a-4e20-b47e-b440c7b9bedc.png,0,111,157,171,206
52a4f346-6026-45ee-93d9-7731170d99a5.png,0,9,217,45,197
35d65a9a-6dea-45cb-aaf2-a79502076321.png,0,81,222,11,222
dc3c901d-b289-4624-9865-99ea26754b1e.png,0,205,205,6,6
da855030-6701-4d87-b236-e2451d93f175.png,0,4,235,9,207
c6d64814-4629-4f55-8e49-c91dbce4c0f4.png,0,82,139,85,148
87110212-4564-46d1-8852-6dab6df4b889.png,0,134,204,75,125
bd55ee31-2637-4296-ad78-7b6509f4b267.png,0,53,179,97,178
9d24e7b7-7ef5-48f8-b965-def86b2faf5c.png,0,151,222,135,225
dd27c767-9fbc-4c03-a00e-3a91f802aca8.png,0,21,239,66,212
b24c895f-e2bc-4ee3-82f8-1b18bd298dd9.png,0,22,234,20,193
eb53f799-17b5-4594-9670-a787f2f7305a.png,0,73,178,75,146
53da022e-509b-4a58-b148-1197db068230.png,0,67,187,114,195
6fcfb57d-4436-4b6c-869c-4d92c6a40181.png,0,94,142,63,97
1a911a02-6dfc-419c-a20c-3abbedee6d37.png,0,121,171,89,156
c92417ca-63e5-4dc0-a122-cbd8448975b3.png,0,30,196,63,183
dc90f1a7-8ab5-4634-846e-2e042ff3702c.png,0,91,157,18,65
e18b84c6-958d-4378-8583-794da19105e1.png,0,74,187,92,170
969d673e-2866-4680-9b36-38649124bf91.png,0,75,167,112,174
e37a1450-2cd3-4123-840a-825b162991fd.png,0,98,187,46,107
2de3a6a4-a0a2-4eeb-96a3-c945d9f25936.png,0,93,166,98,171
771d4991-1364-4abf-80ea-8adae4dadc4f.png,0,46,208,27,149
b4a0b4c8-4d83-4390-b3f3-ede069a1e237.png,0,62,180,115,195
406dbce0-2a74-4382-abfa-b5357cb3b5f0.png,0,91,140,73,110
d226504c-a383-45e9-af0f-9d7e25580dce.png,0,33,236,104,228
037b4c6d-05ad-4fbd-a488-92518bf5370b.png,0,112,232,46,124
02fb7dbe-e48f-4bf5-9235-d25e4b8b4310.png,0,82,202,76,179
